reference_entity_id,reference_entity_type,reference_label,reference_normalized_label,reference_expanded_terms,candidate_uri,candidate_label,candidate_uri_token,candidate_namespace,strategies,evidence_sources,matched_terms,strategy_count,evidence_source_count,average_evidence_weight,initial_score,levenshtein_label_similarity,token_jaccard_similarity,stemmed_jaccard_similarity,char_bigram_jaccard_similarity,prefix_similarity,uri_levenshtein_similarity,uri_token_jaccard_similarity,uri_stemmed_jaccard_similarity,uri_char_bigram_jaccard_similarity,uri_prefix_similarity,containment_similarity,exact_label_match,exact_uri_token_match,candidate_namespace_feature,is_dbpedia_ontology_class,is_dbpedia_resource,is_dbpedia_property,has_dbpedia_type,dbpedia_type_count,literal_property_count,object_property_count,infobox_property_count,total_property_count,log_total_property_count,average_property_frequency,log_average_property_frequency,discriminative_property_score,class_instance_count,class_instance_log_score,initial_score_numeric,lexical_score,structural_score,statistical_score,multisource_score,type_policy_score,final_alignment_score,has_real_dbpedia_evidence,has_controlled_direct_evidence,is_weak_constructed_candidate,rank
ref:Album,class,Album,album,album,http://dbpedia.org/ontology/Album,Album,Album,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,album,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Beverage,class,Beverage,beverage,beverage,http://dbpedia.org/ontology/Beverage,Beverage,Beverage,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,beverage,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Book,class,Book,book,book,http://dbpedia.org/ontology/Book,Book,Book,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,book,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Bordeaux,individual,Bordeaux,bordeaux,bordeaux,http://dbpedia.org/resource/Bordeaux,Bordeaux,Bordeaux,resource,dbpedia_uri_construction|exact_label|expanded_label|resource_from_instance_types|resource_token,dbpedia_instance_types_resources|dbpedia_labels|dbpedia_resource_construction,bordeaux,5,3,1.133333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.6,0,1,0,1,1,3,6,22,31,3.465736,312844.677419,12.653465,0.07903,0,0.0,1.0,1.0,0.835736,0.149867,0.952,1.0,0.942348,1,0,0,1
ref:CabernetSauvignon,individual,Cabernet Sauvignon,cabernet sauvignon,cabernet sauvignon|cabernet|sauvignon,http://dbpedia.org/resource/Cabernet_Sauvignon,Cabernet Sauvignon,Cabernet_Sauvignon,resource,exact_label|expanded_label|resource_from_instance_types|resource_token,dbpedia_instance_types_resources|dbpedia_labels,cabernet sauvignon,4,2,1.075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.6,0,1,0,1,1,1,2,11,14,2.70805,596504.071429,13.298843,0.075195,0,0.0,1.0,1.0,0.82153,0.127857,0.832,1.0,0.921434,1,0,0,1
ref:Camera,class,Camera,camera,camera|photographic camera|device,http://dbpedia.org/ontology/Camera,Camera,Camera,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,camera,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Canon,individual,Canon,canon,canon,http://dbpedia.org/resource/Canon,Canon,Canon,resource,dbpedia_uri_construction|exact_label|expanded_label|resource_token,dbpedia_labels|dbpedia_resource_construction,canon,4,2,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.6,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.62,0.0,0.832,1.0,0.8042,1,0,0,1
ref:Chardonnay,individual,Chardonnay,chardonnay,chardonnay,http://dbpedia.org/resource/Chardonnay,Chardonnay,Chardonnay,resource,dbpedia_uri_construction|exact_label|expanded_label|resource_from_instance_types|resource_token,dbpedia_instance_types_resources|dbpedia_labels|dbpedia_resource_construction,chardonnay,5,3,1.133333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.6,0,1,0,1,1,1,1,12,14,2.70805,596532.571429,13.298891,0.075194,0,0.0,1.0,1.0,0.82153,0.127857,0.952,1.0,0.933434,1,0,0,1
ref:City,class,City,city,city,http://dbpedia.org/ontology/City,City,City,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,city,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Company,class,Company,company,company,http://dbpedia.org/ontology/Company,Company,Company,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,company,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
